iter	Passed	Remaining
0	51	51678
1	63	31592
2	87	29200
3	91	22797
4	98	19598
5	109	18142
6	120	17075
7	125	15552
8	132	14539
9	135	13400
10	138	12452
11	142	11765
12	146	11126
13	153	10806
14	157	10371
15	162	9978
16	165	9544
17	167	9148
18	171	8846
19	173	8482
20	176	8215
21	178	7951
22	181	7704
23	183	7471
24	186	7276
25	189	7081
26	191	6913
27	194	6757
28	197	6601
29	199	6450
30	202	6328
31	204	6199
32	207	6088
33	210	5980
34	212	5872
35	215	5766
36	218	5692
37	223	5656
38	225	5565
39	228	5482
40	230	5399
41	233	5326
42	235	5252
43	238	5186
44	241	5123
45	243	5058
46	246	4991
47	248	4930
48	251	4876
49	253	4823
50	256	4770
51	258	4718
52	261	4666
53	263	4618
54	266	4580
55	269	4547
56	272	4502
57	275	4466
58	277	4429
59	280	4388
60	282	4355
61	286	4333
62	288	4295
63	291	4260
64	293	4223
65	296	4188
66	298	4160
67	301	4138
68	305	4120
69	307	4086
70	309	4054
71	312	4027
72	315	4001
73	317	3978
74	320	3955
75	323	3927
76	325	3900
77	328	3878
78	330	3854
79	333	3833
80	336	3812
81	338	3788
82	340	3763
83	342	3739
84	345	3723
85	348	3706
86	351	3687
87	354	3669
88	356	3649
89	358	3627
90	361	3611
91	364	3595
92	367	3580
93	369	3562
94	371	3543
95	374	3524
96	377	3510
97	379	3494
98	382	3483
99	385	3468
100	388	3454
101	391	3442
102	394	3432
103	396	3419
104	399	3405
105	401	3389
106	404	3372
107	406	3357
108	409	3345
109	412	3333
110	414	3320
111	416	3305
112	419	3291
113	422	3284
114	427	3289
115	430	3283
116	433	3274
117	437	3268
118	441	3267
119	445	3266
120	449	3265
121	452	3258
122	456	3257
123	460	3250
124	462	3237
125	464	3224
126	467	3212
127	469	3199
128	472	3187
129	474	3175
130	476	3162
131	479	3150
132	481	3138
133	483	3127
134	486	3114
135	488	3103
136	490	3091
137	493	3083
138	496	3074
139	498	3064
140	510	3109
141	513	3103
142	516	3093
143	519	3087
144	522	3079
145	525	3074
146	528	3065
147	530	3055
148	533	3045
149	539	3056
150	541	3046
151	544	3037
152	546	3027
153	549	3018
154	552	3009
155	555	3003
156	557	2995
157	560	2986
158	562	2976
159	565	2968
160	568	2960
161	570	2952
162	573	2943
163	575	2935
164	578	2927
165	580	2918
166	583	2909
167	586	2903
168	589	2896
169	591	2888
170	594	2880
171	595	2866
172	598	2862
173	601	2856
174	604	2849
175	606	2840
176	609	2832
177	611	2823
178	614	2818
179	617	2813
180	620	2807
181	622	2798
182	625	2790
183	627	2782
184	630	2777
185	633	2772
186	636	2766
187	638	2758
188	641	2750
189	643	2743
190	646	2737
191	648	2730
192	651	2724
193	653	2716
194	656	2709
195	658	2702
196	662	2698
197	664	2693
198	667	2687
199	670	2680
200	672	2673
201	674	2666
202	677	2661
203	681	2660
204	684	2654
205	686	2647
206	689	2640
207	691	2633
208	694	2628
209	698	2626
210	700	2620
211	703	2613
212	705	2607
213	708	2601
214	710	2595
215	713	2591
216	717	2588
217	719	2582
218	722	2576
219	725	2572
220	728	2566
221	730	2561
222	733	2555
223	736	2549
224	738	2543
225	741	2539
226	744	2536
227	747	2530
228	749	2524
229	752	2517
230	754	2512
231	757	2508
232	760	2503
233	762	2497
234	765	2491
235	767	2485
236	770	2479
237	773	2475
238	775	2470
239	778	2465
240	780	2459
241	783	2453
242	785	2448
243	788	2444
244	791	2439
245	795	2437
246	797	2431
247	800	2425
248	802	2420
249	805	2415
250	808	2413
251	811	2407
252	813	2402
253	816	2396
254	818	2391
255	821	2386
256	824	2383
257	827	2379
258	829	2374
259	832	2368
260	834	2364
261	837	2359
262	840	2355
263	843	2350
264	845	2344
265	847	2339
266	850	2334
267	853	2329
268	855	2325
269	858	2321
270	860	2315
271	863	2310
272	865	2304
273	868	2300
274	870	2296
275	873	2292
276	876	2287
277	878	2281
278	881	2276
279	884	2273
280	887	2270
281	890	2267
282	892	2262
283	895	2257
284	897	2252
285	900	2248
286	903	2245
287	906	2240
288	908	2235
289	911	2230
290	913	2225
291	916	2221
292	919	2217
293	921	2214
294	924	2209
295	926	2204
296	929	2199
297	931	2195
298	935	2193
299	938	2188
300	940	2184
301	943	2179
302	945	2175
303	948	2171
304	951	2167
305	953	2163
306	956	2158
307	958	2153
308	961	2150
309	964	2145
310	966	2141
311	969	2137
312	971	2133
313	974	2128
314	977	2124
315	979	2120
316	982	2116
317	984	2111
318	987	2107
319	989	2102
320	992	2098
321	994	2095
322	997	2091
323	1000	2087
324	1002	2082
325	1005	2078
326	1007	2074
327	1010	2070
328	1013	2067
329	1016	2063
330	1018	2058
331	1021	2054
332	1023	2050
333	1026	2047
334	1030	2045
335	1032	2040
336	1035	2036
337	1037	2031
338	1039	2027
339	1043	2024
340	1046	2021
341	1048	2017
342	1051	2013
343	1053	2008
344	1055	2004
345	1058	2000
346	1061	1997
347	1064	1993
348	1066	1989
349	1068	1984
350	1071	1980
351	1074	1977
352	1076	1973
353	1079	1970
354	1082	1966
355	1084	1962
356	1087	1959
357	1090	1955
358	1093	1952
359	1096	1949
360	1099	1945
361	1101	1941
362	1105	1939
363	1108	1936
364	1111	1933
365	1113	1929
366	1116	1925
367	1118	1920
368	1121	1917
369	1124	1914
370	1127	1910
371	1129	1906
372	1132	1902
373	1134	1898
374	1137	1895
375	1139	1891
376	1142	1888
377	1145	1884
378	1147	1880
379	1150	1876
380	1153	1873
381	1156	1870
382	1158	1866
383	1161	1862
384	1163	1858
385	1165	1854
386	1169	1851
387	1172	1848
388	1175	1846
389	1177	1842
390	1180	1838
391	1183	1835
392	1186	1832
393	1188	1828
394	1191	1825
395	1194	1821
396	1196	1817
397	1199	1813
398	1201	1810
399	1204	1806
400	1207	1802
401	1209	1799
402	1211	1795
403	1214	1791
404	1217	1787
405	1220	1785
406	1222	1781
407	1225	1777
408	1228	1774
409	1231	1771
410	1233	1768
411	1236	1765
412	1239	1761
413	1241	1757
414	1243	1753
415	1246	1749
416	1249	1746
417	1251	1742
418	1254	1739
419	1256	1735
420	1259	1731
421	1261	1728
422	1264	1724
423	1267	1722
424	1270	1718
425	1272	1714
426	1274	1710
427	1277	1706
428	1279	1703
429	1282	1700
430	1284	1695
431	1287	1692
432	1289	1688
433	1291	1684
434	1294	1681
435	1298	1680
436	1301	1676
437	1303	1673
438	1306	1669
439	1308	1665
440	1311	1662
441	1313	1658
442	1316	1655
443	1319	1651
444	1321	1648
445	1323	1644
446	1326	1641
447	1329	1638
448	1332	1634
449	1334	1631
450	1337	1627
451	1339	1624
452	1342	1621
453	1345	1618
454	1348	1614
455	1350	1611
456	1353	1607
457	1355	1604
458	1358	1601
459	1361	1598
460	1364	1594
461	1366	1591
462	1368	1587
463	1371	1584
464	1374	1581
465	1378	1579
466	1380	1575
467	1383	1572
468	1385	1569
469	1388	1565
470	1391	1562
471	1394	1559
472	1396	1556
473	1399	1552
474	1401	1549
475	1404	1545
476	1407	1542
477	1409	1539
478	1412	1536
479	1415	1533
480	1417	1529
481	1420	1526
482	1422	1523
483	1425	1519
484	1428	1516
485	1430	1513
486	1432	1509
487	1435	1506
488	1438	1503
489	1441	1500
490	1443	1496
491	1446	1493
492	1448	1489
493	1450	1486
494	1454	1483
495	1456	1480
496	1460	1477
497	1462	1474
498	1464	1470
499	1466	1466
500	1469	1463
501	1472	1460
502	1475	1457
503	1477	1454
504	1479	1450
505	1482	1447
506	1488	1447
507	1491	1444
508	1493	1440
509	1496	1437
510	1498	1433
511	1501	1431
512	1504	1428
513	1507	1425
514	1509	1421
515	1512	1418
516	1514	1415
517	1517	1412
518	1520	1409
519	1523	1406
520	1526	1403
521	1528	1399
522	1530	1396
523	1533	1393
524	1536	1390
525	1539	1387
526	1541	1383
527	1544	1380
528	1546	1376
529	1549	1374
530	1552	1371
531	1554	1367
532	1557	1364
533	1559	1361
534	1562	1358
535	1565	1354
536	1567	1351
537	1570	1348
538	1573	1345
539	1575	1342
540	1577	1338
541	1580	1335
542	1583	1332
543	1586	1329
544	1588	1326
545	1591	1323
546	1593	1319
547	1596	1316
548	1599	1313
549	1602	1310
550	1604	1307
551	1607	1304
552	1609	1301
553	1612	1298
554	1615	1295
555	1618	1292
556	1621	1289
557	1623	1286
558	1625	1282
559	1628	1279
560	1631	1276
561	1634	1273
562	1636	1270
563	1638	1267
564	1641	1263
565	1644	1260
566	1647	1257
567	1650	1255
568	1652	1251
569	1655	1248
570	1657	1245
571	1660	1242
572	1663	1239
573	1665	1236
574	1668	1233
575	1670	1229
576	1672	1226
577	1675	1223
578	1678	1220
579	1681	1217
580	1684	1214
581	1686	1211
582	1689	1208
583	1692	1205
584	1695	1202
585	1697	1199
586	1700	1196
587	1702	1192
588	1704	1189
589	1707	1186
590	1710	1183
591	1713	1181
592	1716	1178
593	1718	1174
594	1721	1171
595	1723	1168
596	1726	1165
597	1729	1162
598	1731	1159
599	1734	1156
600	1736	1153
601	1739	1150
602	1742	1147
603	1745	1144
604	1747	1141
605	1750	1137
606	1752	1134
607	1755	1131
608	1758	1128
609	1760	1125
610	1763	1122
611	1765	1119
612	1768	1116
613	1771	1113
614	1774	1110
615	1777	1107
616	1779	1104
617	1782	1101
618	1784	1098
619	1787	1095
620	1789	1092
621	1792	1089
622	1795	1086
623	1797	1083
624	1800	1080
625	1803	1077
626	1807	1074
627	1809	1071
628	1811	1068
629	1814	1065
630	1816	1062
631	1819	1059
632	1822	1056
633	1825	1053
634	1827	1050
635	1830	1047
636	1832	1044
637	1835	1041
638	1838	1038
639	1840	1035
640	1843	1032
641	1845	1029
642	1847	1025
643	1850	1023
644	1853	1020
645	1856	1017
646	1858	1014
647	1861	1010
648	1863	1007
649	1866	1005
650	1869	1002
651	1872	999
652	1874	996
653	1876	992
654	1879	989
655	1882	987
656	1884	983
657	1887	981
658	1890	978
659	1893	975
660	1895	972
661	1898	969
662	1901	966
663	1904	963
664	1906	960
665	1909	957
666	1911	954
667	1914	951
668	1917	948
669	1919	945
670	1922	942
671	1924	939
672	1926	936
673	1929	933
674	1932	930
675	1935	927
676	1937	924
677	1939	921
678	1942	918
679	1944	915
680	1947	912
681	1950	909
682	1952	906
683	1955	903
684	1957	900
685	1959	897
686	1962	894
687	1964	891
688	1970	889
689	1977	888
690	1982	886
691	1986	884
692	1989	881
693	1996	880
694	1998	877
695	2001	874
696	2004	871
697	2008	869
698	2011	866
699	2014	863
700	2018	860
701	2020	857
702	2023	854
703	2026	852
704	2029	849
705	2031	846
706	2034	843
707	2036	840
708	2040	837
709	2042	834
710	2045	831
711	2047	828
712	2050	825
713	2052	822
714	2055	819
715	2060	817
716	2063	814
717	2065	811
718	2067	808
719	2073	806
720	2075	803
721	2078	800
722	2080	797
723	2083	794
724	2085	791
725	2088	788
726	2091	785
727	2093	782
728	2096	779
729	2098	776
730	2100	773
731	2103	770
732	2106	767
733	2108	764
734	2111	761
735	2113	758
736	2115	755
737	2118	752
738	2122	749
739	2125	746
740	2127	743
741	2130	740
742	2132	737
743	2135	734
744	2138	731
745	2140	728
746	2143	725
747	2145	722
748	2147	719
749	2150	716
750	2153	714
751	2156	711
752	2158	708
753	2161	705
754	2163	702
755	2166	699
756	2169	696
757	2172	693
758	2174	690
759	2177	687
760	2179	684
761	2182	681
762	2185	678
763	2188	675
764	2190	672
765	2193	669
766	2195	667
767	2198	664
768	2201	661
769	2205	658
770	2207	655
771	2209	652
772	2212	649
773	2214	646
774	2217	643
775	2220	640
776	2222	637
777	2225	634
