iter	Passed	Remaining
0	59	59482
1	63	31532
2	67	22304
3	71	17763
4	75	15059
5	79	13243
6	84	11965
7	88	11001
8	93	10250
9	97	9644
10	101	9140
11	105	8726
12	110	8385
13	114	8082
14	118	7809
15	123	7579
16	127	7388
17	132	7207
18	136	7045
19	139	6850
20	144	6719
21	148	6599
22	152	6494
23	156	6372
24	160	6251
25	163	6132
26	166	6006
27	169	5891
28	172	5780
29	175	5673
30	178	5569
31	180	5473
32	183	5387
33	186	5304
34	189	5228
35	192	5159
36	197	5140
37	200	5079
38	204	5028
39	207	4983
40	211	4942
41	214	4902
42	218	4866
43	222	4831
44	226	4797
45	229	4750
46	231	4701
47	234	4654
48	237	4609
49	240	4567
50	243	4525
51	246	4486
52	248	4446
53	251	4410
54	254	4373
55	257	4340
56	260	4305
57	263	4274
58	266	4242
59	268	4212
60	271	4182
61	274	4152
62	277	4124
63	280	4097
64	283	4071
65	285	4045
66	288	4019
67	291	3994
68	294	3971
69	297	3947
70	299	3923
71	302	3899
72	305	3876
73	308	3856
74	310	3834
75	313	3814
76	316	3793
77	319	3774
78	322	3755
79	324	3737
80	327	3718
81	330	3700
82	333	3681
83	335	3663
84	338	3646
85	341	3629
86	344	3613
87	347	3597
88	349	3581
89	352	3568
90	355	3555
91	359	3543
92	361	3529
93	364	3515
94	367	3503
95	370	3491
96	373	3478
97	376	3465
98	379	3453
99	382	3441
100	385	3428
101	388	3417
102	391	3405
103	394	3395
104	397	3386
105	400	3377
106	403	3367
107	406	3360
108	410	3353
109	413	3345
110	416	3337
111	419	3328
112	422	3319
113	426	3318
114	430	3314
115	433	3305
116	436	3295
117	439	3287
118	442	3276
119	445	3266
120	448	3256
121	451	3247
122	454	3238
123	456	3227
124	459	3217
125	462	3208
126	465	3198
127	468	3189
128	470	3180
129	473	3170
130	476	3160
131	479	3150
132	482	3142
133	484	3133
134	487	3124
135	490	3117
136	493	3109
137	496	3100
138	499	3092
139	501	3083
140	504	3074
141	507	3066
142	510	3059
143	513	3051
144	516	3043
145	518	3035
146	521	3026
147	524	3018
148	527	3011
149	530	3004
150	533	2996
151	535	2988
152	538	2981
153	541	2974
154	544	2966
155	546	2954
156	548	2947
157	551	2940
158	554	2933
159	557	2926
160	560	2920
161	563	2913
162	566	2906
163	568	2900
164	571	2893
165	574	2886
166	576	2874
167	579	2868
168	581	2861
169	584	2855
170	587	2850
171	591	2849
172	595	2844
173	597	2838
174	600	2832
175	604	2828
176	606	2821
177	609	2816
178	612	2810
179	615	2804
180	618	2797
181	621	2791
182	623	2785
183	626	2779
184	629	2772
185	632	2766
186	635	2760
187	637	2754
188	640	2748
189	643	2742
190	646	2736
191	648	2731
192	651	2725
193	654	2720
194	657	2714
195	660	2708
196	662	2702
197	665	2697
198	668	2691
199	671	2685
200	674	2680
201	676	2674
202	679	2668
203	682	2662
204	685	2657
205	688	2652
206	691	2647
207	693	2642
208	696	2636
209	699	2631
210	702	2626
211	705	2620
212	707	2615
213	710	2610
214	713	2605
215	716	2600
216	719	2594
217	722	2590
218	724	2584
219	727	2580
220	730	2575
221	733	2570
222	736	2565
223	739	2560
224	742	2556
225	744	2550
226	747	2545
227	750	2540
228	752	2534
229	755	2529
230	758	2525
231	761	2520
232	764	2515
233	767	2510
234	769	2506
235	772	2501
236	775	2496
237	778	2491
238	780	2486
239	783	2481
240	786	2476
241	790	2475
242	793	2471
243	796	2468
244	799	2463
245	802	2459
246	805	2454
247	807	2450
248	810	2445
249	813	2440
250	816	2435
251	819	2431
252	821	2426
253	824	2422
254	827	2417
255	830	2413
256	833	2408
257	836	2404
258	839	2400
259	842	2396
260	844	2392
261	848	2388
262	850	2383
263	853	2378
264	856	2374
265	858	2369
266	861	2366
267	864	2362
268	867	2357
269	870	2353
270	873	2348
271	875	2344
272	878	2339
273	881	2335
274	884	2331
275	887	2327
276	889	2322
277	892	2318
278	895	2314
279	898	2310
280	901	2305
281	904	2301
282	906	2297
283	909	2293
284	912	2290
285	915	2286
286	918	2282
287	921	2278
288	924	2274
289	927	2271
290	930	2266
291	933	2263
292	936	2259
293	939	2255
294	941	2250
295	944	2246
296	947	2242
297	950	2238
298	952	2234
299	955	2230
300	958	2225
301	961	2222
302	964	2218
303	967	2214
304	969	2210
305	972	2206
306	975	2202
307	978	2197
308	981	2194
309	983	2189
310	986	2186
311	990	2183
312	993	2180
313	996	2176
314	999	2173
315	1002	2170
316	1005	2166
317	1008	2162
318	1011	2159
319	1014	2155
320	1017	2151
321	1020	2147
322	1022	2143
323	1025	2139
324	1028	2135
325	1031	2132
326	1034	2128
327	1036	2124
328	1039	2120
329	1042	2116
330	1045	2112
331	1047	2108
332	1050	2104
333	1053	2100
334	1056	2097
335	1059	2093
336	1062	2089
337	1064	2085
338	1067	2081
339	1070	2077
340	1073	2074
341	1076	2070
342	1078	2066
343	1081	2062
344	1084	2058
345	1087	2054
346	1089	2051
347	1092	2047
348	1095	2043
349	1098	2040
350	1101	2036
351	1104	2032
352	1106	2028
353	1109	2025
354	1112	2021
355	1115	2017
356	1118	2013
357	1120	2010
358	1123	2006
359	1126	2003
360	1129	1999
361	1132	1995
362	1135	1991
363	1137	1988
364	1140	1984
365	1143	1980
366	1146	1977
367	1149	1973
368	1152	1970
369	1155	1967
370	1157	1963
371	1160	1959
372	1163	1955
373	1166	1951
374	1168	1948
375	1171	1944
376	1174	1941
377	1177	1937
378	1180	1933
379	1183	1930
380	1186	1927
381	1189	1923
382	1192	1920
383	1195	1917
384	1198	1913
385	1201	1910
386	1204	1907
387	1206	1903
388	1209	1900
389	1213	1897
390	1215	1893
391	1218	1890
392	1221	1886
393	1224	1883
394	1227	1880
395	1230	1876
396	1232	1872
397	1235	1869
398	1238	1865
399	1241	1862
400	1244	1858
401	1246	1854
402	1249	1851
403	1252	1847
404	1255	1844
405	1257	1840
406	1260	1836
407	1263	1833
408	1266	1829
409	1268	1826
410	1271	1822
411	1274	1818
412	1277	1815
413	1279	1811
414	1282	1808
415	1285	1804
416	1288	1801
417	1291	1797
418	1293	1794
419	1296	1790
420	1299	1787
421	1302	1783
422	1305	1780
423	1308	1777
424	1310	1773
425	1313	1770
426	1316	1766
427	1319	1763
428	1322	1760
429	1325	1757
430	1328	1753
431	1331	1750
432	1334	1747
433	1336	1743
434	1339	1739
435	1342	1736
436	1345	1733
437	1348	1729
438	1351	1726
439	1354	1723
440	1356	1719
441	1359	1716
442	1362	1712
443	1364	1709
444	1367	1705
445	1370	1702
446	1373	1699
447	1376	1695
448	1379	1692
449	1381	1688
450	1384	1685
451	1387	1682
452	1391	1679
453	1394	1676
454	1397	1673
455	1400	1670
456	1402	1666
457	1405	1663
458	1408	1660
459	1411	1656
460	1414	1653
461	1417	1650
462	1419	1646
463	1422	1643
464	1425	1640
465	1428	1636
466	1431	1633
467	1434	1630
468	1437	1627
469	1440	1624
470	1443	1620
471	1445	1617
472	1448	1614
473	1451	1611
474	1454	1607
475	1457	1604
476	1460	1600
477	1462	1597
478	1465	1594
479	1468	1590
480	1471	1587
481	1474	1584
482	1476	1580
483	1479	1577
484	1482	1574
485	1485	1570
486	1488	1567
487	1491	1564
488	1493	1561
489	1496	1557
490	1499	1554
491	1502	1550
492	1504	1547
493	1507	1544
494	1510	1541
495	1513	1537
496	1516	1534
497	1519	1531
498	1522	1528
499	1525	1525
500	1528	1521
501	1530	1518
502	1533	1514
503	1535	1511
504	1538	1508
505	1541	1505
506	1544	1502
507	1547	1498
508	1550	1495
509	1553	1492
510	1556	1489
511	1558	1485
512	1561	1482
513	1564	1479
514	1567	1476
515	1570	1472
516	1572	1469
517	1575	1466
518	1578	1462
519	1581	1459
520	1584	1456
521	1588	1454
522	1592	1452
523	1595	1449
524	1598	1446
525	1601	1443
526	1604	1440
527	1607	1437
528	1610	1433
529	1613	1430
530	1616	1427
531	1618	1424
532	1621	1420
533	1624	1417
534	1627	1414
535	1630	1411
536	1633	1408
537	1636	1405
538	1639	1402
539	1642	1398
540	1645	1395
541	1647	1392
542	1650	1389
543	1653	1386
544	1656	1382
545	1659	1379
546	1662	1376
547	1664	1373
548	1667	1370
549	1670	1366
550	1673	1363
551	1676	1360
552	1679	1357
553	1681	1354
554	1684	1350
555	1687	1347
556	1690	1344
557	1693	1341
558	1696	1338
559	1698	1334
560	1701	1331
561	1704	1328
562	1707	1325
563	1710	1322
564	1712	1318
565	1715	1315
566	1718	1312
567	1721	1309
568	1724	1305
569	1726	1302
570	1729	1299
571	1732	1296
572	1735	1293
573	1738	1290
574	1741	1287
575	1744	1284
576	1747	1280
577	1750	1277
578	1752	1274
579	1755	1271
580	1758	1268
581	1760	1264
582	1763	1261
583	1766	1258
584	1769	1255
585	1772	1252
586	1775	1248
587	1777	1245
588	1780	1242
589	1784	1239
590	1787	1236
591	1790	1233
592	1793	1230
593	1796	1228
594	1799	1225
595	1802	1222
596	1805	1219
597	1808	1216
598	1811	1212
599	1815	1210
600	1818	1207
601	1821	1204
602	1824	1201
603	1827	1198
604	1830	1195
605	1833	1192
606	1836	1189
607	1839	1186
608	1842	1183
609	1845	1180
610	1848	1177
611	1851	1174
612	1855	1171
613	1858	1168
614	1861	1165
615	1864	1161
616	1867	1159
617	1870	1156
618	1873	1152
619	1876	1149
620	1879	1146
621	1882	1143
622	1885	1140
623	1888	1137
624	1891	1134
625	1893	1131
626	1896	1128
627	1899	1125
628	1902	1122
629	1905	1119
630	1908	1115
631	1910	1112
632	1913	1109
633	1916	1106
634	1919	1103
635	1922	1100
636	1925	1097
637	1928	1094
638	1931	1091
639	1934	1088
640	1938	1085
641	1941	1082
642	1944	1079
643	1947	1076
644	1949	1073
645	1952	1070
646	1955	1066
647	1958	1063
648	1961	1060
649	1964	1057
650	1967	1054
651	1970	1051
652	1973	1048
653	1976	1045
654	1979	1042
655	1983	1039
656	1986	1037
657	1989	1034
658	1993	1031
659	1996	1028
660	1999	1025
661	2002	1022
662	2005	1019
663	2008	1016
664	2011	1013
665	2014	1010
666	2017	1007
667	2020	1003
668	2022	1000
669	2025	997
670	2028	994
671	2031	991
672	2034	988
673	2037	985
674	2040	982
675	2042	979
676	2045	976
677	2048	972
678	2051	969
679	2054	966
680	2057	963
681	2060	960
682	2062	957
683	2065	954
684	2068	951
685	2071	948
686	2074	945
687	2077	942
688	2080	939
689	2084	936
690	2087	933
691	2090	930
692	2092	927
693	2096	924
694	2099	921
695	2102	918
696	2105	915
697	2107	912
698	2110	908
699	2113	905
700	2116	902
701	2119	899
702	2122	896
703	2124	893
704	2127	890
705	2130	887
706	2133	884
707	2136	881
708	2139	878
709	2142	875
710	2145	872
711	2148	869
712	2151	865
713	2153	862
714	2156	859
715	2159	856
716	2162	853
717	2165	850
718	2168	847
719	2171	844
720	2174	841
721	2178	838
722	2181	835
723	2184	832
724	2187	829
725	2190	826
726	2193	823
727	2196	820
728	2199	817
729	2202	814
730	2205	811
731	2208	808
732	2211	805
733	2214	802
734	2217	799
735	2219	796
736	2222	793
737	2225	790
738	2228	787
739	2231	783
740	2234	780
741	2236	777
742	2239	774
743	2242	771
744	2245	768
745	2248	765
746	2251	762
747	2254	759
748	2257	756
749	2259	753
750	2263	750
751	2265	747
752	2268	744
753	2271	741
754	2274	738
755	2277	735
756	2280	731
757	2283	728
758	2286	725
759	2289	722
760	2292	719
761	2295	716
762	2298	713
763	2301	710
764	2303	707
765	2306	704
766	2309	701
767	2312	698
768	2315	695
769	2318	692
770	2321	689
771	2323	686
772	2326	683
773	2329	680
774	2332	677
775	2335	674
776	2338	671
777	2341	668
778	2344	665
779	2347	661
780	2350	658
781	2353	655
782	2355	652
783	2358	649
784	2362	646
785	2365	643
786	2368	640
787	2370	637
788	2373	634
789	2376	631
790	2380	628
791	2383	625
792	2386	622
793	2389	619
794	2392	617
795	2395	613
796	2398	610
797	2401	607
798	2404	604
799	2407	601
800	2410	598
801	2413	595
802	2416	592
803	2419	589
804	2422	586
805	2425	583
806	2428	580
807	2430	577
808	2433	574
809	2436	571
810	2439	568
811	2442	565
812	2445	562
813	2448	559
814	2450	556
815	2453	553
816	2456	550
817	2459	547
818	2462	544
819	2465	541
820	2467	538
821	2470	535
822	2473	532
823	2476	528
824	2479	525
825	2482	522
826	2485	519
827	2488	516
828	2491	513
829	2494	510
830	2497	507
831	2500	504
832	2503	501
833	2506	498
834	2509	495
835	2511	492
836	2514	489
837	2517	486
838	2520	483
839	2523	480
840	2526	477
841	2529	474
842	2532	471
843	2535	468
844	2538	465
845	2540	462
846	2543	459
847	2546	456
848	2549	453
849	2552	450
850	2555	447
851	2558	444
852	2561	441
853	2564	438
854	2567	435
855	2569	432
856	2572	429
857	2576	426
858	2579	423
859	2582	420
860	2585	417
861	2588	414
862	2591	411
863	2594	408
864	2597	405
865	2600	402
866	2603	399
867	2606	396
868	2609	393
869	2611	390
870	2614	387
871	2617	384
872	2620	381
873	2623	378
874	2626	375
875	2628	372
876	2631	369
877	2634	366
878	2637	363
879	2640	360
880	2643	357
881	2646	354
882	2649	351
883	2652	348
884	2655	345
885	2658	342
886	2660	338
887	2663	335
888	2666	332
889	2669	329
890	2672	326
891	2675	323
892	2678	320
893	2681	317
894	2684	314
895	2686	311
896	2689	308
897	2692	305
898	2695	302
899	2698	299
900	2702	296
901	2704	293
902	2707	290
903	2710	287
904	2713	284
905	2716	281
906	2718	278
907	2721	275
908	2724	272
909	2727	269
910	2730	266
911	2733	263
912	2736	260
913	2739	257
914	2742	254
915	2744	251
916	2747	248
917	2750	245
918	2753	242
919	2756	239
920	2759	236
921	2762	233
922	2765	230
923	2768	227
924	2771	224
925	2776	221
926	2780	218
927	2783	215
928	2787	213
929	2790	210
930	2794	207
931	2797	204
932	2800	201
933	2803	198
934	2806	195
935	2809	192
936	2812	189
937	2815	186
938	2818	183
939	2821	180
940	2825	177
941	2828	174
942	2831	171
943	2834	168
944	2837	165
945	2840	162
946	2843	159
947	2846	156
948	2849	153
949	2852	150
950	2855	147
951	2857	144
952	2860	141
953	2863	138
954	2866	135
955	2869	132
956	2871	129
957	2874	126
958	2877	123
959	2880	120
960	2883	117
961	2886	114
962	2889	111
963	2891	107
964	2894	104
965	2897	101
966	2900	98
967	2903	95
968	2906	92
969	2909	89
970	2912	86
971	2915	83
972	2918	80
973	2921	77
974	2923	74
975	2926	71
976	2929	68
977	2932	65
978	2934	62
979	2937	59
980	2940	56
981	2943	53
982	2946	50
983	2948	47
984	2951	44
985	2954	41
986	2957	38
987	2959	35
988	2962	32
989	2965	29
990	2968	26
991	2971	23
992	2974	20
993	2978	17
994	2981	14
995	2985	11
996	2988	8
997	2991	5
998	2994	2
999	2997	0
